"DonorClientNm","RecipientClientNm","DonationDt","AmountPaid"
"A.A. Scott Pty Ltd","Liberal Party of Australia (Victorian Division)","24/10/2006 12:00:00 AM","20000.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia, NSW Division","1/02/2007 12:00:00 AM","20000.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (N.S.W. Branch)","1/02/2007 12:00:00 AM","20000.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia, NSW Division","19/06/2007 12:00:00 AM","12000.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (N.S.W. Branch)","7/07/2006 12:00:00 AM","10000.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia","1/05/2007 12:00:00 AM","10000.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Victorian Branch)","17/08/2006 12:00:00 AM","8000.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia","22/05/2007 12:00:00 AM","5000.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (N.S.W. Branch)","15/08/2006 12:00:00 AM","5000.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (South Australian Branch)","24/01/2007 12:00:00 AM","5000.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (South Australian Branch)","24/05/2007 12:00:00 AM","3150.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Western Australian Branch)","25/10/2006 12:00:00 AM","3000.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia","19/10/2006 12:00:00 AM","3000.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia, NSW Division","14/11/2006 12:00:00 AM","2500.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Victorian Branch)","15/11/2006 12:00:00 AM","1400.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (N.S.W. Branch)","30/08/2006 12:00:00 AM","1375.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (South Australian Branch)","24/01/2007 12:00:00 AM","1350.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia","1/08/2006 12:00:00 AM","1250.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (South Australian Branch)","2/03/2007 12:00:00 AM","1100.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (South Australian Branch)","3/04/2007 12:00:00 AM","1100.0000"
"ABN AMRO Australia Pty Ltd","National Party of Australia","7/07/2006 12:00:00 AM","1100.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia - Queensland Division","8/03/2007 12:00:00 AM","1000.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Western Australian Branch)","24/01/2007 12:00:00 AM","650.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Victorian Branch)","16/02/2007 12:00:00 AM","450.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia","26/03/2007 12:00:00 AM","400.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Victorian Branch)","17/08/2006 12:00:00 AM","390.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Victorian Branch)","5/04/2007 12:00:00 AM","390.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia, NSW Division","20/03/2007 12:00:00 AM","350.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (N.S.W. Branch)","24/01/2007 12:00:00 AM","200.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia, NSW Division","9/10/2006 12:00:00 AM","125.0000"
"ABN AMRO Australia Pty Ltd","Australian Labor Party (Victorian Branch)","22/08/2006 12:00:00 AM","120.0000"
"ABN AMRO Australia Pty Ltd","Liberal Party of Australia, NSW Division","24/01/2007 12:00:00 AM","80.0000"
"ABN AMRO Morgans Limited","Liberal Party of Australia - Queensland Division","21/06/2007 12:00:00 AM","16500.0000"
"ABN AMRO Morgans Limited","Liberal Party of Australia - Queensland Division","21/06/2007 12:00:00 AM","16500.0000"
"ABN AMRO Morgans Limited","Liberal Party of Australia - Queensland Division","6/09/2006 12:00:00 AM","16500.0000"
"ABN AMRO Morgans Limited","Liberal Party of Australia - Queensland Division","6/09/2006 12:00:00 AM","16500.0000"
"ABN AMRO Morgans Limited","Australian Labor Party (State of Queensland)","30/08/2006 12:00:00 AM","15000.0000"
"Accor Asia Pacific","Australian Labor Party (N.S.W. Branch)","25/07/2006 12:00:00 AM","20000.0000"
"Accor Asia Pacific","Australian Labor Party (N.S.W. Branch)","13/11/2006 12:00:00 AM","15000.0000"
"Accor Asia Pacific","Liberal Party of Australia, NSW Division","28/03/2007 12:00:00 AM","10000.0000"
"Accor Asia Pacific","Australian Labor Party (N.S.W. Branch)","21/12/2006 12:00:00 AM","9900.0000"
"Adelaide Brighton Ltd","Liberal Party of Australia (S.A. Division)","16/05/2007 12:00:00 AM","125000.0000"
"Adelaide Brighton Ltd","Australian Labor Party (South Australian Branch)","22/05/2007 12:00:00 AM","25000.0000"
"Adstream Marine Services Pty Limited","Australian Labor Party (ALP)","11/12/2006 12:00:00 AM","25000.0000"
"Adstream Marine Services Pty Limited","National Party of Australia","11/12/2006 12:00:00 AM","25000.0000"
"Adstream Marine Services Pty Limited","Liberal Party of Australia","11/12/2006 12:00:00 AM","25000.0000"
"AHL Investments Pty Ltd","Liberal Party of Australia, NSW Division","6/07/2006 12:00:00 AM","20000.0000"
"AHL Investments Pty Ltd","Australian Labor Party (N.S.W. Branch)","1/07/2006 12:00:00 AM","15909.0900"
"AHL Investments Pty Ltd","Australian Labor Party (N.S.W. Branch)","6/03/2007 12:00:00 AM","15000.0000"
"AHL Investments Pty Ltd","Liberal Party of Australia, NSW Division","6/07/2006 12:00:00 AM","9900.0000"
"AHL Investments Pty Ltd","Australian Labor Party (N.S.W. Branch)","31/10/2006 12:00:00 AM","4545.4500"
"AHL Investments Pty Ltd","Australian Labor Party (N.S.W. Branch)","9/02/2007 12:00:00 AM","4545.4500"
"AHL Investments Pty Ltd","Australian Labor Party (N.S.W. Branch)","10/04/2007 12:00:00 AM","4545.4500"
"AHL Investments Pty Ltd","Australian Labor Party (N.S.W. Branch)","1/11/2006 12:00:00 AM","200.0000"
"Allco Finance Group Limited","Australian Labor Party (N.S.W. Branch)","10/05/2007 12:00:00 AM","10000.0000"
"Allco Finance Group Limited","Liberal Party of Australia - Tasmanian Division","26/06/2007 12:00:00 AM","7700.0000"
"Allco Finance Group Limited","Liberal Party of Australia, NSW Division","7/04/2007 12:00:00 AM","5000.0000"
"Allco Finance Group Limited","Liberal Party of Australia","28/06/2007 12:00:00 AM","1000.0000"
"Allens Arthur Robinson","Australian Labor Party (N.S.W. Branch)","1/09/2006 12:00:00 AM","11000.0000"
"Allens Arthur Robinson","Liberal Party of Australia (Victorian Division)","6/09/2006 12:00:00 AM","7500.0000"
"Allens Arthur Robinson","Australian Labor Party (N.S.W. Branch)","11/07/2006 12:00:00 AM","2500.0000"
"Allens Arthur Robinson","Australian Labor Party (N.S.W. Branch)","11/09/2006 12:00:00 AM","2200.0000"
"Allens Arthur Robinson","Liberal Party of Australia, NSW Division","17/10/2006 12:00:00 AM","1500.0000"
"Allens Arthur Robinson","Australian Labor Party (N.S.W. Branch)","11/08/2006 12:00:00 AM","1375.0000"
"Allens Arthur Robinson","Liberal Party of Australia, NSW Division","17/07/2006 12:00:00 AM","600.0000"
"Allens Arthur Robinson","Liberal Party of Australia, NSW Division","22/05/2007 12:00:00 AM","550.0000"
"Allens Arthur Robinson","Liberal Party of Australia, NSW Division","30/10/2006 12:00:00 AM","181.8200"
"Allens Arthur Robinson","Liberal Party of Australia, NSW Division","22/11/2006 12:00:00 AM","63.6400"
"Allianz Australia Ltd","Liberal Party of Australia","15/01/2007 12:00:00 AM","25000.0000"
"Allianz Australia Ltd","Liberal Party of Australia, NSW Division","30/04/2007 12:00:00 AM","11000.0000"
"Allianz Australia Ltd","Liberal Party of Australia, NSW Division","30/04/2007 12:00:00 AM","7000.0000"
"Almona Pty Ltd","Liberal Party of Australia, NSW Division","28/09/2006 12:00:00 AM","25000.0000"
"Almona Pty Ltd","Liberal Party of Australia, NSW Division","28/09/2006 12:00:00 AM","25000.0000"
"Almona Pty Ltd","Liberal Party of Australia, NSW Division","28/09/2006 12:00:00 AM","25000.0000"
"Almona Pty Ltd","Liberal Party of Australia, NSW Division","17/07/2006 12:00:00 AM","25000.0000"
"Almona Pty Ltd","Australian Labor Party (N.S.W. Branch)","23/08/2006 12:00:00 AM","8800.0000"
"Almona Pty Ltd","Liberal Party of Australia, NSW Division","9/03/2007 12:00:00 AM","5000.0000"
