"DonorClientNm","RecipientClientNm","DonationDt","AmountPaid"
"A & K (NT) Pty Ltd","Australian Labor Party (Northern Territory) Branch","8/06/2005 12:00:00 AM","10000.0000"
"AAM Adelaide Pty Ltd","Liberal Party of Australia (S.A. Division)","26/11/2004 12:00:00 AM","3000.0000"
"AB Investments (Sladell Pty Ltd & Mosgiel Pty Ltd)","Northern Territory Country Liberal Party","20/04/2005 12:00:00 AM","5000.0000"
"Abacus Calculators (WA) Pty Ltd","Australian Labor Party (Western Australian Branch)","17/11/2004 12:00:00 AM","3000.0000"
"Abbey Lea Pty Ltd atf The Lea Trust","Australian Labor Party (Western Australian Branch)","1/07/2004 12:00:00 AM","5500.0000"
"Abigroup Contractors Pty Ltd","Liberal Party of Australia (Victorian Division)","3/09/2004 12:00:00 AM","5000.0000"
"ABN Amro Morgans Limited","Liberal Party of Australia - Queensland Division","27/09/2004 12:00:00 AM","10000.0000"
"ABN Amro Morgans Limited","Australian Labor Party (State of Queensland)","24/05/2005 12:00:00 AM","5000.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (State of Queensland)","16/07/2004 12:00:00 AM","16500.0000"
"ABN AMRO Services Australia Ltd","Liberal Party of Australia, NSW Division","24/06/2005 12:00:00 AM","12000.0000"
"ABN AMRO Services Australia Ltd","Liberal Party of Australia, NSW Division","5/04/2005 12:00:00 AM","10000.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (Western Australian Branch)","28/02/2005 12:00:00 AM","7500.0000"
"ABN AMRO Services Australia Ltd","The Liberal Party of Western Australia Pty Ltd","28/02/2005 12:00:00 AM","7500.0000"
"ABN AMRO Services Australia Ltd","The Liberal Party of Western Australia Pty Ltd","16/07/2004 12:00:00 AM","5000.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (Victorian Branch)","24/09/2004 12:00:00 AM","4000.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (State of Queensland)","3/05/2005 12:00:00 AM","3850.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (Victorian Branch)","18/10/2004 12:00:00 AM","3000.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (Victorian Branch)","18/10/2004 12:00:00 AM","3000.0000"
"ABN AMRO Services Australia Ltd","Liberal Party of Australia (Victorian Division)","28/06/2005 12:00:00 AM","3000.0000"
"ABN AMRO Services Australia Ltd","Liberal Party of Australia - Queensland Division","28/06/2005 12:00:00 AM","3000.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (Western Australian Branch)","28/02/2005 12:00:00 AM","2261.0000"
"ABN AMRO Services Australia Ltd","The Liberal Party of Western Australia Pty Ltd","28/02/2005 12:00:00 AM","2179.0000"
"ABN AMRO Services Australia Ltd","Liberal Party of Australia","7/10/2004 12:00:00 AM","2000.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (N.S.W. Branch)","16/07/2004 12:00:00 AM","2000.0000"
"ABN AMRO Services Australia Ltd","Liberal Party of Australia, NSW Division","1/07/2004 12:00:00 AM","1724.3500"
"ABN AMRO Services Australia Ltd","Australian Labor Party (Victorian Branch)","28/04/2005 12:00:00 AM","1150.0000"
"ABN AMRO Services Australia Ltd","Australian Labor Party (N.S.W. Branch)","16/07/2004 12:00:00 AM","1100.0000"
